iter	Passed	Remaining
409	3353	4825
410	3358	4813
411	3363	4800
412	3369	4788
413	3375	4777
414	3380	4765
415	3387	4754
416	3395	4747
417	3401	4736
418	3408	4726
419	3415	4716
420	3421	4704
421	3428	4696
422	3436	4687
423	3442	4676
424	3447	4663
425	3452	4652
426	3457	4640
427	3464	4630
428	3470	4618
429	3476	4608
430	3483	4598
431	3488	4586
432	3493	4575
433	3500	4565
434	3505	4552
435	3511	4542
436	3517	4532
437	3523	4521
438	3530	4512
439	3535	4500
440	3541	4488
441	3550	4482
442	3558	4474
443	3567	4466
444	3571	4454
445	3578	4444
446	3583	4433
447	3589	4423
448	3597	4415
449	3602	4403
450	3608	4392
451	3616	4384
452	3621	4372
453	3628	4363
454	3634	4353
455	3640	4343
456	3648	4335
457	3658	4329
458	3663	4318
459	3670	4308
460	3678	4300
461	3684	4290
462	3691	4281
463	3696	4270
464	3701	4258
465	3707	4248
466	3714	4239
467	3722	4231
468	3728	4221
469	3734	4210
470	3743	4204
471	3750	4195
472	3757	4186
473	3763	4176
474	3768	4165
475	3773	4154
476	3781	4146
477	3789	4137
478	3793	4126
479	3800	4117
480	3807	4108
481	3812	4097
482	3818	4087
483	3823	4076
484	3830	4067
485	3836	4057
486	3841	4046
487	3847	4036
488	3854	4028
489	3860	4017
490	3866	4008
491	3873	3999
492	3878	3988
493	3885	3980
494	3890	3969
495	3895	3958
496	3900	3947
497	3905	3937
498	3910	3925
499	3918	3918
500	3924	3908
501	3933	3901
502	3940	3893
503	3947	3884
504	3952	3874
505	3958	3864
506	3965	3855
507	3970	3845
508	3979	3838
509	3985	3828
510	3992	3820
511	3997	3810
512	4002	3799
513	4010	3792
514	4015	3781
515	4021	3772
516	4027	3763
517	4034	3753
518	4042	3746
519	4047	3736
520	4052	3725
521	4058	3716
522	4063	3706
523	4069	3696
524	4075	3687
525	4081	3678
526	4086	3667
527	4096	3661
528	4103	3653
529	4112	3646
530	4122	3641
531	4130	3633
532	4139	3627
533	4150	3622
534	4160	3616
535	4166	3606
536	4176	3601
537	4185	3594
538	4193	3586
539	4203	3580
540	4208	3570
541	4214	3561
542	4226	3557
543	4231	3547
544	4240	3540
545	4244	3529
546	4250	3519
547	4261	3515
548	4267	3505
549	4271	3494
550	4286	3493
551	4292	3483
552	4305	3479
553	4310	3470
554	4326	3468
555	4333	3460
556	4345	3456
557	4352	3447
558	4369	3447
559	4377	3439
560	4391	3436
561	4407	3435
562	4414	3426
563	4430	3424
564	4451	3427
565	4458	3418
566	4477	3419
567	4496	3419
568	4519	3423
569	4540	3425
570	4565	3429
571	4581	3428
572	4596	3425
573	4608	3420
574	4625	3418
575	4641	3416
576	4655	3412
577	4669	3408
578	4683	3405
579	4694	3399
580	4708	3395
581	4716	3387
582	4727	3381
583	4738	3375
584	4745	3366
585	4757	3361
586	4766	3353
587	4776	3346
588	4787	3340
589	4793	3330
590	4803	3324
591	4810	3315
592	4821	3309
593	4829	3301
594	4841	3295
595	4853	3290
596	4859	3280
597	4866	3271
598	4871	3261
599	4883	3255
600	4892	3247
601	4900	3239
602	4909	3232
603	4916	3223
604	4924	3215
605	4930	3205
606	4937	3196
607	4943	3187
608	4953	3180
609	4962	3172
610	4971	3164
611	4978	3156
612	4989	3149
613	4996	3140
614	5008	3135
615	5016	3127
616	5023	3118
617	5033	3111
618	5041	3102
619	5048	3094
620	5060	3088
621	5066	3079
622	5077	3072
623	5085	3064
624	5093	3055
625	5098	3046
626	5108	3039
627	5115	3030
628	5122	3021
629	5130	3012
630	5138	3005
631	5145	2995
632	5151	2986
633	5158	2977
634	5166	2969
635	5176	2962
636	5182	2953
637	5194	2947
638	5204	2940
639	5216	2934
640	5223	2925
641	5229	2916
642	5235	2906
643	5242	2898
644	5249	2889
645	5255	2879
646	5260	2870
647	5268	2861
648	5273	2852
649	5279	2842
650	5285	2833
651	5293	2825
652	5299	2816
653	5306	2807
654	5311	2797
655	5317	2788
656	5322	2778
657	5328	2769
658	5335	2760
659	5340	2751
660	5348	2743
661	5353	2733
662	5359	2724
663	5367	2715
664	5375	2707
665	5381	2699
666	5387	2689
667	5397	2682
668	5404	2674
669	5411	2665
670	5416	2655
671	5421	2646
672	5427	2637
673	5432	2627
674	5439	2619
675	5446	2610
676	5452	2601
677	5459	2592
678	5464	2583
679	5470	2574
680	5477	2565
681	5484	2557
682	5489	2547
683	5496	2539
684	5506	2532
685	5510	2522
686	5514	2512
687	5519	2503
688	5524	2493
689	5529	2484
690	5533	2474
691	5538	2465
692	5544	2456
693	5550	2447
694	5558	2439
695	5563	2430
696	5577	2424
697	5586	2417
698	5607	2414
699	5614	2406
700	5624	2399
701	5633	2391
702	5641	2383
703	5650	2375
704	5658	2367
705	5666	2359
706	5672	2350
707	5677	2341
708	5684	2333
709	5690	2324
710	5695	2314
711	5702	2306
712	5709	2298
713	5719	2291
714	5725	2282
715	5733	2274
716	5740	2265
717	5749	2258
718	5756	2249
719	5764	2241
720	5771	2233
721	5776	2224
722	5782	2215
723	5790	2207
724	5797	2198
725	5801	2189
726	5808	2181
727	5813	2172
728	5818	2163
729	5824	2154
730	5830	2145
731	5835	2136
732	5841	2127
733	5847	2119
734	5852	2109
735	5857	2101
736	5862	2092
737	5869	2083
738	5877	2075
739	5882	2066
740	5887	2057
741	5892	2048
742	5897	2039
743	5903	2031
744	5910	2022
745	5916	2014
746	5926	2007
747	5931	1998
748	5942	1991
749	5950	1983
750	5957	1975
751	5972	1969
752	5979	1961
753	5990	1954
754	6001	1947
755	6007	1938
756	6019	1932
757	6025	1923
758	6036	1916
759	6042	1908
760	6052	1900
761	6061	1893
