iter	Logloss
0	0.6931154599
1	0.6930956575
2	0.6930734392
3	0.6930535501
4	0.6831457001
5	0.6831237049
6	0.6831131589
7	0.681460616
8	0.6806642879
9	0.6806545195
10	0.6806427493
11	0.6806376951
12	0.6806355005
13	0.6806222383
14	0.679840066
15	0.6798321925
16	0.6798287886
17	0.6742525607
18	0.6661589152
19	0.6661582763
20	0.6661569345
21	0.6661575063
22	0.6661550302
23	0.6661552068
24	0.6661521793
25	0.6600743914
26	0.6600003568
27	0.6599980986
28	0.6599989033
29	0.6586015538
30	0.6573392506
31	0.6573403954
32	0.6556422249
33	0.6556408785
34	0.6556428511
35	0.655641936
36	0.6556397789
37	0.6556404147
38	0.6506394472
39	0.6506404104
40	0.6501426645
41	0.6501400037
42	0.650143095
43	0.6491913097
44	0.6491898709
45	0.6429993259
46	0.6421221253
47	0.642123819
48	0.642121816
49	0.638919382
50	0.6389170577
51	0.6389175998
52	0.6388591345
53	0.6388602491
54	0.638861086
55	0.6322697299
56	0.6322432817
57	0.6322424153
58	0.6322429446
59	0.6322409431
60	0.6322415864
61	0.6322418279
62	0.6322422203
63	0.6322426951
64	0.6322416044
65	0.626959307
66	0.6215934249
67	0.621589292
68	0.6215905987
69	0.6212253564
70	0.6212230826
71	0.621223629
72	0.6211953768
73	0.615921613
74	0.6159189775
75	0.6159199355
76	0.6158856478
77	0.6158849326
78	0.6158846354
79	0.6158845992
80	0.6158845511
81	0.6155997234
82	0.611237261
83	0.6112369567
84	0.6112110249
85	0.6112107221
86	0.61121134
87	0.6112103592
88	0.6112095744
89	0.6112097133
90	0.6109557575
91	0.6103275522
92	0.6079996346
93	0.6079985637
94	0.6046253623
95	0.6046253623
96	0.6046253623
97	0.6046253623
98	0.6046253623
99	0.6046253623
100	0.6046253623
101	0.6046253623
102	0.6044306369
103	0.6044307719
104	0.6011531668
105	0.6011540173
106	0.6011534328
107	0.6011318277
108	0.6011327125
109	0.6011121098
110	0.6011129566
111	0.6011127596
112	0.5983459065
113	0.5973008603
114	0.5954702973
115	0.5927071268
116	0.5927072594
117	0.5909678408
118	0.5909669949
119	0.5900477631
120	0.5900477728
121	0.5900320601
122	0.5900327276
123	0.5900312691
124	0.5900318992
125	0.5900321238
126	0.5900311654
127	0.5877259495
128	0.5871841438
129	0.5871840713
130	0.585615836
131	0.5856155375
132	0.5856149965
133	0.5842046765
134	0.5842048241
135	0.5841302178
136	0.5841092015
137	0.5841087036
138	0.584108824
139	0.5837200648
140	0.5836382099
141	0.5836375901
142	0.5836373673
143	0.5836372531
144	0.5832285578
145	0.5832283131
146	0.5832280207
147	0.5831674297
148	0.5831674748
149	0.5831678509
150	0.5819643839
151	0.5819637837
152	0.5819638603
153	0.5816483156
154	0.5810586244
155	0.5810586823
156	0.5810588331
157	0.5801892666
158	0.5801889614
159	0.580172455
160	0.5801725021
161	0.5787389264
162	0.5787390448
163	0.5787390265
164	0.578509362
165	0.5784726202
166	0.5784724066
167	0.5784727757
168	0.5781701194
169	0.5781701425
170	0.5781699057
171	0.5781698629
172	0.5773972826
173	0.5773970378
174	0.5773972158
175	0.5773970545
176	0.5773973177
177	0.5773785369
178	0.5773783577
179	0.577340969
180	0.5765264137
181	0.575790884
182	0.5753431464
183	0.575343341
184	0.5751381557
185	0.575138329
186	0.575138351
187	0.5751037806
188	0.5750858414
189	0.5750858169
190	0.5750858699
191	0.5750860985
192	0.5750861028
193	0.5750860318
194	0.5750740722
195	0.574461386
196	0.5744615279
197	0.5743118629
198	0.5743118802
199	0.5743118218
200	0.574288323
201	0.574288405
202	0.5742884276
203	0.5742740178
204	0.5741345555
205	0.5741345084
206	0.5741345021
207	0.5741345905
208	0.5736597494
209	0.5736596822
210	0.5734398843
211	0.5734399009
212	0.57343999
213	0.5734398465
214	0.5734397283
215	0.573439788
216	0.5734398233
217	0.5734398101
218	0.5732069916
219	0.5731950143
220	0.5731950371
221	0.5731950553
222	0.5731896972
223	0.5731613835
224	0.5731613587
225	0.573028335
226	0.5725411964
227	0.5725411597
228	0.5725413013
229	0.5725413757
230	0.5725413102
231	0.5725413335
232	0.5725411642
233	0.5717383406
234	0.5717385119
235	0.5711025247
236	0.5711027469
237	0.5709055772
238	0.5709056179
239	0.5705806621
240	0.5702302119
241	0.5702301641
242	0.5702302052
243	0.5702301987
244	0.5700579019
245	0.5700580186
246	0.5700579619
247	0.5699632884
248	0.5697247592
249	0.5697247532
250	0.5697127554
251	0.5697128711
252	0.5696734214
253	0.5696734624
254	0.5696731602
255	0.5696732524
256	0.5696579505
257	0.5696580965
258	0.5694638798
259	0.5694640424
260	0.5694638105
261	0.5694637971
262	0.5691631426
263	0.5691631762
264	0.5691632058
265	0.5691632176
266	0.5691632276
267	0.5691062181
268	0.569106206
269	0.5688765652
270	0.5686024996
271	0.5686026279
272	0.5677632445
273	0.5677631897
274	0.5677630463
275	0.5677630397
276	0.5677629807
277	0.5677585291
278	0.5677584807
279	0.5677584986
280	0.567758463
281	0.5677585212
282	0.5676817701
283	0.5676816102
284	0.5676734529
285	0.5674179321
286	0.5671703174
